LOVO_LARGE_INTESTINE
3
112852	111961	109915	114469	100630	69821	45204	17342	9310	8124
113654	112768	110611	110367	92344	50319	12772	5219	3095	3302
101582	91909	96292	81250	39755	10056	4257	2927	2597	2744
13599	10642	11918	6219	5973	4029	4016	2446	2294	2719
6713	5139	5876	4823	3666	4038	3292	3116	2456	2184
4897	4764	4860	4584	3963	3756	3125	2600	2572	3515
109649	107966	112603	110532	102890	82204	42170	25148	10164	7744
108387	105446	106369	108029	89979	55290	14521	5884	3517	3516
86235	91520	88688	66673	34915	8735	4112	3063	2256	2619
12344	11154	11471	8368	6346	4121	3529	2893	3973	2462
5282	5221	4955	5719	4426	3692	2786	2463	2788	2737
4199	4345	5606	3869	3487	2872	2762	3172	2949	2573
98915	97295	94777	98218	82448	75748	39272	21429	8819	7005
96888	95514	95197	92173	84025	48815	10366	4123	2844	2914
89869	85224	83712	61452	35531	11233	3019	2910	2698	2165
12452	9994	10995	6089	6053	3520	2426	2141	2692	2500
4918	5007	5406	3629	3789	4424	3445	2560	2394	2807
4396	3643	4025	3735	3540	2543	3012	2220	2094	1875
