PC3_PROSTATE
3
91398	75140	82828	86589	73443	67655	61884	51961	37611	36153
90846	86577	81978	83167	76504	61145	47509	37704	34539	34977
85854	84164	78086	76135	58083	42727	35804	33331	30300	30268
59043	63278	55728	44575	45200	34823	35472	36221	31749	32681
49716	51856	50472	48899	40221	42397	36200	36737	31883	31834
49070	48328	44204	46367	41072	38175	36904	38877	33388	35058
87356	86091	85269	77092	72714	74914	59979	48750	40824	37696
90641	83976	82054	79370	78037	65861	47466	38885	33483	32607
75701	82038	78015	68504	67497	46283	37816	35980	31785	31491
73424	68683	52872	54072	47501	37647	37385	33825	33612	29005
49000	51363	48825	38635	44035	39107	38536	34397	34809	32149
58992	45578	41779	47364	42381	40433	36302	36621	33259	32713
77425	71335	68435	67239	64494	63754	51419	44493	34620	30293
76151	74071	66598	64954	54477	58720	39250	35459	26717	25480
75267	50735	47799	65479	61041	41557	31793	30562	25954	25980
51435	60583	48748	47591	34368	33692	26375	28612	27989	25705
43984	43221	42082	38137	33322	33465	31394	28436	23641	27361
42856	40974	41203	38126	38010	36311	32480	29996	30124	28953
