MDAMB231_BREAST
3
62136	58663	59336	58963	52655	47235	28483	21110	16867	14519
59652	59403	59655	57489	55414	46773	27102	21218	18032	10614
59094	56308	54505	51330	48681	41866	27157	22282	18846	19335
49461	49730	45095	37362	38517	32836	26120	24068	17947	22805
30867	31181	32640	31233	30435	31313	29313	27579	20576	18108
28854	28982	29750	29502	29021	28927	27470	22388	22040	21190
63513	60748	62198	57270	58231	53136	29333	24762	18219	17787
62062	62494	59518	61926	59296	52965	28801	21093	17370	20070
60712	60658	56638	56149	53002	46369	28987	23727	20975	20280
54609	50904	44271	42732	36588	38308	29004	23566	21969	20803
32412	33085	31923	33714	31556	31908	28583	29876	22004	22219
29383	29990	30443	29492	29714	29729	26734	23783	22469	23714
65656	64305	60649	63135	63102	53669	30219	25506	19164	17497
67365	64835	61972	63218	60578	52631	29906	20277	19266	16047
65031	63710	60838	56237	58799	49112	29616	24744	21524	19501
55942	53939	46083	46900	39222	35107	30321	27624	20723	22142
33335	36159	34618	33336	31687	33307	31090	30998	24254	24804
32018	32647	31094	32129	32442	32951	30452	28724	23620	27315
