U2OS_BONE
3
82413	83663	87942	86653	86702	81351	70873	60033	42639	39232
80260	80542	81462	84525	80901	78933	71437	60710	42635	42107
83110	84727	87621	91757	83625	80740	73286	62526	44022	43341
83299	81961	83821	83838	83696	81708	66353	58907	40296	42316
82256	83156	88874	84314	84339	76930	64388	50233	39154	38953
80927	85247	81650	84985	83140	75692	60657	55264	39389	40509
87583	89638	87671	86201	84045	81327	67963	57459	43296	41130
84290	88125	86058	86322	84880	81996	69167	63915	45728	43685
87871	86125	86413	87322	88375	82427	74071	65779	43586	43702
88125	92125	87393	87209	86839	83349	69221	54560	40562	40249
88938	85762	84655	89453	89189	80544	64026	53457	42004	44650
88585	89763	92297	86789	84047	78551	61438	52830	41295	41457
68879	69140	72380	70742	68628	65983	59665	50338	36278	35433
68899	71501	70729	70243	67617	66032	60153	50437	36670	37563
71425	71963	72672	69477	68164	67684	59839	51383	38154	36493
70098	74932	72054	69853	70712	68033	58206	46818	36929	37517
71652	70291	72340	69820	70545	66337	55162	47122	34122	35167
72439	72406	74710	70413	69368	64783	52707	45314	33566	35616
